revenue|date|num|city
1362196|2015-02-23 13:21:00|3|Cambridge
41677|2015-05-19 15:59:00|3|London
486109|2015-05-05 13:35:00|3|Oxford
124464|2016-02-18 13:29:00|2|London
413507|2018-10-08 10:25:00|2|London
1132787|2017-02-21 13:57:00|3|Durham
1745781|2018-08-21 14:15:00|4|Cambridge
1149059|2017-04-17 11:30:00|4|Durham
993063|2015-11-13 14:45:00|3|Durham
890270|2019-01-08 13:36:00|3|Oxford
453607|2015-01-16 12:10:00|4|Oxford
841275|2018-07-30 10:57:00|3|Oxford
61326|2015-07-23 13:41:00|3|London
963849|2015-08-10 12:00:00|3|Durham
1163145|2017-06-01 14:43:00|4|Durham
1267141|2018-05-14 14:52:00|4|Durham
1077303|2016-08-19 15:25:00|3|Durham
174938|2016-08-04 12:43:00|4|London
1150682|2017-04-21 10:29:00|3|Durham
1546679|2016-10-27 14:46:00|1|Cambridge
999945|2015-12-08 10:10:00|1|Durham
1760144|2018-10-08 15:04:00|3|Cambridge
626072|2016-08-12 09:45:00|3|Oxford
817320|2018-05-10 11:39:00|3|Oxford
755335|2017-10-17 10:01:00|3|Oxford
1517359|2016-07-22 10:15:00|2|Cambridge
1054267|2016-06-06 10:23:00|1|Durham
1690538|2018-02-19 12:43:00|1|Cambridge
1122061|2017-01-17 10:36:00|4|Durham
1652898|2017-10-17 09:52:00|3|Cambridge
414013|2018-10-09 11:50:00|3|London
1381974|2015-04-29 13:12:00|4|Cambridge
1031776|2016-03-22 14:26:00|3|Durham
539506|2015-10-29 12:25:00|3|Oxford
1288743|2018-07-25 10:02:00|3|Durham
1688207|2018-02-09 15:58:00|2|Cambridge
179207|2016-08-18 13:42:00|2|London
1559039|2016-12-08 10:16:00|1|Cambridge
1121934|2017-01-16 15:30:00|3|Durham
1290935|2018-08-01 11:29:00|2|Durham
1137802|2017-03-09 13:20:00|3|Durham
1521933|2016-08-08 09:18:00|3|Cambridge
709320|2017-05-16 14:56:00|4|Oxford
1421239|2015-09-07 15:04:00|4|Cambridge
177164|2016-08-11 14:44:00|4|London
717504|2017-06-13 11:00:00|3|Oxford
1781648|2018-12-18 15:37:00|2|Cambridge
1442857|2015-11-18 10:30:00|3|Cambridge
672509|2017-01-13 11:52:00|1|Oxford
1554978|2016-11-24 12:45:00|2|Cambridge
1045021|2016-05-05 10:39:00|3|Durham
1080338|2016-08-31 09:52:00|1|Durham
491410|2015-05-22 10:43:00|4|Oxford
449473|2015-01-02 13:26:00|3|Oxford
839116|2018-07-23 10:03:00|3|Oxford
1348457|2015-01-07 15:55:00|2|Cambridge
730995|2017-07-27 11:19:00|3|Oxford
1205183|2017-10-19 13:41:00|4|Durham
1689783|2018-02-15 14:10:00|1|Cambridge
1269478|2018-05-22 11:43:00|3|Durham
1193432|2017-09-11 14:18:00|3|Durham
1349736|2015-01-13 09:10:00|3|Cambridge
352837|2018-03-20 09:39:00|3|London
1668145|2017-12-06 11:23:00|3|Cambridge
1662320|2017-11-16 12:32:00|2|Cambridge
562591|2016-01-14 11:15:00|3|Oxford
1268702|2018-05-18 12:49:00|3|Durham
710807|2017-05-22 11:39:00|3|Oxford
1556202|2016-11-29 12:06:00|4|Cambridge
1733945|2018-07-12 13:27:00|3|Cambridge
1767321|2018-10-31 15:24:00|4|Cambridge
1604354|2017-05-08 14:44:00|2|Cambridge
218720|2016-12-28 12:41:00|2|London
535077|2015-10-14 15:47:00|3|Oxford
129668|2016-03-08 09:00:00|2|London
336131|2018-01-23 11:53:00|1|London
385575|2018-07-05 15:00:00|3|London
1346866|2015-01-02 10:27:00|1|Cambridge
528581|2015-09-23 12:46:00|1|Oxford
733635|2017-08-04 13:13:00|3|Oxford
1762424|2018-10-16 10:58:00|4|Cambridge
766292|2017-11-22 10:12:00|2|Oxford
1076174|2016-08-17 10:38:00|3|Durham
1321405|2018-11-09 14:07:00|4|Durham
376047|2018-06-05 10:34:00|3|London
1012533|2016-01-19 09:28:00|1|Durham
401157|2018-08-27 15:05:00|3|London
695555|2017-03-31 10:03:00|2|Oxford
1638267|2017-08-29 11:36:00|3|Cambridge
946634|2015-06-12 12:46:00|4|Durham
1105139|2016-11-22 09:14:00|2|Durham
1476267|2016-03-08 13:01:00|3|Cambridge
67877|2015-08-14 10:36:00|1|London
1565684|2016-12-29 15:46:00|3|Cambridge
1208799|2017-11-01 10:48:00|2|Durham
680662|2017-02-09 14:26:00|4|Oxford
1734447|2018-07-13 14:48:00|2|Cambridge
132362|2016-03-16 11:48:00|4|London
1785717|2019-01-01 13:16:00|3|Cambridge
737233|2017-08-17 10:02:00|3|Oxford
1769406|2018-11-07 15:04:00|3|Cambridge
1768043|2018-11-02 13:24:00|2|Cambridge
84485|2015-10-08 13:45:00|3|London
529642|2015-09-28 09:24:00|3|Oxford
621712|2016-07-28 14:16:00|3|Oxford
730736|2017-07-26 14:01:00|4|Oxford
663306|2016-12-14 12:51:00|3|Oxford
30817|2015-04-14 10:24:00|4|London
1166968|2017-06-14 15:17:00|3|Durham
515598|2015-08-11 13:54:00|1|Oxford
750993|2017-10-02 14:50:00|3|Oxford
1550120|2016-11-08 15:59:00|3|Cambridge
425934|2018-11-16 14:03:00|1|London
1264810|2018-05-07 11:06:00|2|Durham
1758425|2018-10-02 14:29:00|4|Cambridge
1543802|2016-10-18 15:56:00|3|Cambridge
1599152|2017-04-20 12:14:00|4|Cambridge
1114445|2016-12-22 09:58:00|2|Durham
380136|2018-06-18 15:34:00|2|London
752615|2017-10-06 13:48:00|4|Oxford
867414|2018-10-24 11:34:00|3|Oxford
1151094|2017-04-24 10:20:00|2|Durham
480383|2015-04-16 09:22:00|3|Oxford
617651|2016-07-15 09:44:00|3|Oxford
1318757|2018-11-01 12:05:00|2|Durham
840954|2018-07-27 12:37:00|4|Oxford
1451416|2015-12-16 12:49:00|3|Cambridge
396033|2018-08-09 13:53:00|3|London
689808|2017-03-13 12:30:00|1|Oxford
1513832|2016-07-11 14:37:00|2|Cambridge
721988|2017-06-27 15:34:00|1|Oxford
245930|2017-03-29 10:06:00|1|London
616323|2016-07-11 15:40:00|4|Oxford
852645|2018-09-05 11:00:00|4|Oxford
949108|2015-06-22 11:54:00|4|Durham
33966|2015-04-23 13:46:00|4|London
29722|2015-04-09 13:12:00|3|London
1546040|2016-10-26 11:08:00|4|Cambridge
818243|2018-05-14 13:00:00|1|Oxford
1207906|2017-10-30 09:57:00|2|Durham
611064|2016-06-23 12:13:00|4|Oxford
1099991|2016-11-03 14:39:00|2|Durham
549412|2015-12-02 09:07:00|1|Oxford
845439|2018-08-13 10:11:00|2|Oxford
631458|2016-08-30 15:19:00|3|Oxford
508632|2015-07-20 10:04:00|3|Oxford
1396589|2015-06-17 11:12:00|2|Cambridge
185465|2016-09-08 12:45:00|3|London
7276|2015-01-26 10:59:00|2|London
61924|2015-07-27 09:37:00|2|London
934942|2015-05-05 14:22:00|2|Durham
867815|2018-10-25 11:14:00|2|Oxford
241315|2017-03-14 10:22:00|4|London
208490|2016-11-24 10:35:00|4|London
722074|2017-06-28 09:59:00|4|Oxford
889686|2019-01-07 10:53:00|3|Oxford
1643250|2017-09-14 10:27:00|4|Cambridge
111479|2016-01-06 14:35:00|3|London
454085|2015-01-19 13:07:00|3|Oxford
799512|2018-03-13 09:33:00|3|Oxford
742939|2017-09-05 13:55:00|2|Oxford
818385|2018-05-14 15:22:00|3|Oxford
1545383|2016-10-24 14:13:00|3|Cambridge
62760|2015-07-29 09:31:00|4|London
1195394|2017-09-18 11:55:00|3|Durham
1530745|2016-09-05 15:50:00|1|Cambridge
975195|2015-09-16 11:39:00|3|Durham
772789|2017-12-13 13:14:00|3|Oxford
1492371|2016-04-29 14:47:00|1|Cambridge
874215|2018-11-15 12:39:00|3|Oxford
622593|2016-08-01 14:55:00|3|Oxford
1197364|2017-09-25 09:40:00|3|Durham
865010|2018-10-16 13:36:00|3|Oxford
934446|2015-05-04 13:07:00|1|Durham
1729048|2018-06-27 09:01:00|3|Cambridge
669097|2017-01-03 11:08:00|3|Oxford
1164189|2017-06-06 11:04:00|3|Durham
430500|2018-12-03 12:58:00|2|London
1392193|2015-06-02 15:07:00|4|Cambridge
79071|2015-09-21 14:44:00|4|London
986519|2015-10-23 10:56:00|1|Durham
1254063|2018-03-30 14:25:00|3|Durham
1674810|2017-12-28 10:12:00|3|Cambridge
140273|2016-04-12 10:20:00|4|London
1672644|2017-12-21 09:11:00|3|Cambridge
1727655|2018-06-21 13:52:00|3|Cambridge
260663|2017-05-17 10:04:00|4|London
1057720|2016-06-16 11:48:00|3|Durham
810218|2018-04-17 12:34:00|3|Oxford
761274|2017-11-06 10:46:00|3|Oxford
1102364|2016-11-11 12:06:00|4|Durham
1415020|2015-08-18 09:39:00|3|Cambridge
738775|2017-08-22 14:41:00|2|Oxford
1062048|2016-06-30 13:46:00|2|Durham
871052|2018-11-06 09:03:00|2|Oxford
561965|2016-01-12 14:51:00|3|Oxford
1193567|2017-09-12 09:32:00|3|Durham
274850|2017-07-03 14:58:00|4|London
1385008|2015-05-08 14:39:00|3|Cambridge
1471955|2016-02-23 11:19:00|3|Cambridge
1227326|2018-01-02 10:51:00|4|Durham
690485|2017-03-15 09:45:00|1|Oxford
979543|2015-09-30 13:57:00|4|Durham
1572496|2017-01-23 10:01:00|3|Cambridge
165608|2016-07-05 11:35:00|4|London
567278|2016-01-29 12:11:00|4|Oxford
753832|2017-10-11 13:02:00|2|Oxford
170874|2016-07-21 15:09:00|2|London
1530156|2016-09-02 13:02:00|2|Cambridge
1693563|2018-02-28 14:01:00|3|Cambridge
592782|2016-04-25 09:14:00|3|Oxford
411020|2018-09-28 11:04:00|2|London
1627554|2017-07-24 15:29:00|4|Cambridge
1216139|2017-11-24 13:51:00|1|Durham
748942|2017-09-25 15:44:00|3|Oxford
22043|2015-03-16 11:31:00|3|London
1289704|2018-07-27 12:01:00|2|Durham
818455|2018-05-15 09:31:00|3|Oxford
2733|2015-01-09 12:27:00|3|London
454708|2015-01-21 09:28:00|3|Oxford
167728|2016-07-12 11:50:00|2|London
445394|2019-01-21 15:37:00|3|London
1345694|2019-01-30 11:58:00|3|Durham
1073238|2016-08-08 10:49:00|1|Durham
797501|2018-03-06 11:07:00|1|Oxford
1630342|2017-08-02 12:50:00|3|Cambridge
499922|2015-06-19 12:15:00|3|Oxford
1603015|2017-05-03 13:28:00|2|Cambridge
1218569|2017-12-04 12:15:00|4|Durham
132117|2016-03-15 14:44:00|2|London
152740|2016-05-23 14:38:00|2|London
1391878|2015-06-02 09:52:00|2|Cambridge
269348|2017-06-14 14:29:00|2|London
746753|2017-09-18 14:20:00|3|Oxford
850131|2018-08-28 11:12:00|3|Oxford
1597127|2017-04-13 13:34:00|3|Cambridge
1122960|2017-01-19 11:33:00|4|Durham
612693|2016-06-29 11:18:00|1|Oxford
835419|2018-07-10 11:35:00|3|Oxford
1164167|2017-06-06 10:42:00|2|Durham
946100|2015-06-11 10:53:00|2|Durham
709216|2017-05-16 13:12:00|3|Oxford
458555|2015-02-03 10:26:00|3|Oxford
1155690|2017-05-09 09:45:00|3|Durham
418191|2018-10-23 11:18:00|4|London
1177887|2017-07-20 14:50:00|1|Durham
1785028|2018-12-28 15:49:00|1|Cambridge
571482|2016-02-12 12:05:00|2|Oxford
355804|2018-03-29 09:59:00|4|London
1423357|2015-09-14 15:17:00|4|Cambridge
246850|2017-03-31 11:24:00|4|London
1113803|2016-12-20 13:18:00|3|Durham
1667317|2017-12-04 11:37:00|1|Cambridge
783124|2018-01-17 10:04:00|3|Oxford
1425406|2015-09-21 14:21:00|3|Cambridge
529304|2015-09-25 10:47:00|4|Oxford
158698|2016-06-10 15:42:00|3|London
1271215|2018-05-28 12:36:00|2|Durham
841982|2018-07-31 15:43:00|3|Oxford
274877|2017-07-03 15:25:00|3|London
1434895|2015-10-22 11:07:00|3|Cambridge
921739|2015-03-23 11:50:00|1|Durham
1363169|2015-02-25 15:32:00|3|Cambridge
1330850|2018-12-12 10:09:00|3|Durham
913399|2015-02-23 13:10:00|2|Durham
991850|2015-11-10 15:35:00|1|Durham
249617|2017-04-10 15:25:00|3|London
1312271|2018-10-11 09:14:00|3|Durham
933381|2015-04-30 09:24:00|2|Durham
1016453|2016-02-01 11:39:00|4|Durham
364962|2018-04-27 15:16:00|4|London
496532|2015-06-09 11:53:00|2|Oxford
279947|2017-07-19 15:43:00|3|London
369437|2018-05-14 12:40:00|3|London
1540770|2016-10-07 14:31:00|2|Cambridge
636219|2016-09-15 10:28:00|3|Oxford
271076|2017-06-20 15:13:00|3|London
255677|2017-05-01 11:10:00|4|London
1550168|2016-11-09 09:46:00|2|Cambridge
1051345|2016-05-26 10:48:00|4|Durham
732812|2017-08-02 13:32:00|3|Oxford
1091725|2016-10-07 10:12:00|3|Durham
393921|2018-08-02 13:46:00|4|London
1616538|2017-06-16 14:19:00|2|Cambridge
1574678|2017-01-30 11:18:00|3|Cambridge
613352|2016-06-30 15:16:00|4|Oxford
853666|2018-09-07 13:59:00|4|Oxford
858144|2018-09-24 11:26:00|3|Oxford
1104974|2016-11-21 13:30:00|2|Durham
184043|2016-09-05 10:06:00|2|London
1065680|2016-07-13 11:09:00|3|Durham
923362|2015-03-27 10:49:00|2|Durham
513158|2015-08-03 15:20:00|2|Oxford
996996|2015-11-27 10:08:00|2|Durham
1589545|2017-03-20 13:30:00|4|Cambridge
1291943|2018-08-03 14:15:00|1|Durham
1141714|2017-03-22 15:23:00|4|Durham
693548|2017-03-24 11:41:00|3|Oxford
573584|2016-02-19 12:02:00|2|Oxford
1178368|2017-07-21 15:50:00|4|Durham
1256350|2018-04-09 10:26:00|3|Durham
1634489|2017-08-16 11:47:00|3|Cambridge
1754579|2018-09-19 13:32:00|2|Cambridge
1604362|2017-05-08 14:52:00|3|Cambridge
110536|2016-01-04 12:54:00|3|London
855872|2018-09-14 15:40:00|2|Oxford
579086|2016-03-09 12:31:00|3|Oxford
1400706|2015-07-01 09:39:00|3|Cambridge
996032|2015-11-24 15:07:00|4|Durham
444211|2019-01-17 09:56:00|3|London
1736682|2018-07-23 09:57:00|2|Cambridge
1696442|2018-03-09 12:53:00|1|Cambridge
739074|2017-08-23 12:39:00|3|Oxford
525478|2015-09-14 10:10:00|3|Oxford
1016346|2016-02-01 09:52:00|2|Durham
385524|2018-07-05 14:09:00|1|London
1305189|2018-09-18 10:29:00|3|Durham
1495127|2016-05-10 11:36:00|1|Cambridge
969522|2015-08-27 15:20:00|3|Durham
844870|2018-08-09 14:44:00|3|Oxford
942795|2015-06-01 11:56:00|3|Durham
1529375|2016-08-31 14:03:00|3|Cambridge
117079|2016-01-26 09:41:00|3|London
915215|2015-02-27 15:22:00|3|Durham
373178|2018-05-25 11:52:00|4|London
83857|2015-10-07 10:18:00|4|London
345517|2018-02-22 13:57:00|3|London
326401|2017-12-21 11:06:00|3|London
1699042|2018-03-19 14:07:00|3|Cambridge
1188280|2017-08-24 12:38:00|2|Durham
562779|2016-01-14 14:23:00|3|Oxford
1178814|2017-07-25 09:14:00|3|Durham
1467436|2016-02-08 13:11:00|4|Cambridge
184825|2016-09-07 09:06:00|2|London
1004661|2015-12-23 11:35:00|3|Durham
1577086|2017-02-07 09:20:00|4|Cambridge
1445748|2015-11-27 09:34:00|4|Cambridge
729894|2017-07-24 14:01:00|4|Oxford
533922|2015-10-12 10:34:00|4|Oxford
148820|2016-05-10 12:27:00|3|London
1743316|2018-08-13 15:16:00|3|Cambridge
770113|2017-12-05 10:44:00|4|Oxford
637828|2016-09-21 09:13:00|3|Oxford
446981|2019-01-25 14:00:00|1|London
915321|2015-03-02 10:07:00|1|Durham
45175|2015-06-01 11:08:00|2|London
692495|2017-03-21 15:11:00|3|Oxford
1157549|2017-05-15 12:40:00|4|Durham
140788|2016-04-13 11:54:00|3|London
416845|2018-10-18 09:55:00|2|London
1243396|2018-02-23 12:03:00|1|Durham
395503|2018-08-08 12:04:00|3|London
991416|2015-11-09 15:22:00|3|Durham
1720519|2018-05-29 14:13:00|3|Cambridge
695002|2017-03-29 14:52:00|1|Oxford
1672361|2017-12-20 11:29:00|3|Cambridge
1727295|2018-06-20 14:53:00|2|Cambridge
758447|2017-10-26 12:46:00|2|Oxford
1786837|2019-01-04 10:53:00|3|Cambridge
304562|2017-10-10 11:59:00|4|London
1072215|2016-08-03 14:49:00|3|Durham
1717421|2018-05-18 11:42:00|3|Cambridge
1513947|2016-07-12 09:31:00|3|Cambridge
125270|2016-02-22 12:53:00|2|London
1602169|2017-05-01 13:24:00|4|Cambridge
1529541|2016-09-01 09:48:00|2|Cambridge
1576443|2017-02-03 12:39:00|3|Cambridge
582357|2016-03-21 10:54:00|4|Oxford
669205|2017-01-03 12:56:00|2|Oxford
1287411|2018-07-19 15:54:00|3|Durham
1342836|2019-01-21 13:27:00|3|Durham
480691|2015-04-16 14:30:00|3|Oxford
1009803|2016-01-08 13:05:00|3|Durham
1665544|2017-11-28 10:08:00|3|Cambridge
1759895|2018-10-08 10:55:00|3|Cambridge
794751|2018-02-23 14:24:00|2|Oxford
1149476|2017-04-18 11:26:00|4|Durham
732859|2017-08-02 14:19:00|4|Oxford
1176943|2017-07-18 13:08:00|4|Durham
683109|2017-02-17 13:07:00|3|Oxford
194744|2016-10-10 13:02:00|2|London
747470|2017-09-20 12:15:00|3|Oxford
1469405|2016-02-15 10:55:00|2|Cambridge
174022|2016-08-02 11:29:00|3|London
55684|2015-07-06 10:52:00|1|London
101292|2015-12-03 13:12:00|3|London
952518|2015-07-02 12:36:00|3|Durham
807174|2018-04-06 10:57:00|3|Oxford
787147|2018-01-30 13:58:00|2|Oxford
736264|2017-08-14 14:56:00|3|Oxford
1084952|2016-09-15 09:35:00|3|Durham
1290000|2018-07-30 09:56:00|1|Durham
1718511|2018-05-22 15:50:00|3|Cambridge
854369|2018-09-11 11:40:00|2|Oxford
694017|2017-03-27 12:29:00|3|Oxford
1595555|2017-04-07 15:26:00|2|Cambridge
1276901|2018-06-15 09:08:00|4|Durham
1267700|2018-05-16 10:09:00|3|Durham
1703843|2018-04-04 09:56:00|3|Cambridge
495290|2015-06-04 12:14:00|4|Oxford
1484225|2016-04-04 12:20:00|2|Cambridge
1165164|2017-06-08 13:17:00|3|Durham
35339|2015-04-28 15:36:00|4|London
23812|2015-03-20 12:56:00|2|London
1481953|2016-03-28 09:33:00|3|Cambridge
384311|2018-07-02 14:59:00|1|London
1742479|2018-08-09 15:21:00|2|Cambridge
1311846|2018-10-10 09:10:00|3|Durham
682033|2017-02-15 09:13:00|2|Oxford
815810|2018-05-04 14:33:00|4|Oxford
1103714|2016-11-16 13:33:00|2|Durham
1647300|2017-09-27 14:48:00|4|Cambridge
1193151|2017-09-11 09:37:00|2|Durham
654298|2016-11-15 10:04:00|3|Oxford
904088|2015-01-22 12:21:00|3|Durham
493164|2015-05-28 11:53:00|1|Oxford
240694|2017-03-10 14:03:00|3|London
20168|2015-03-09 15:21:00|3|London
805045|2018-03-30 10:33:00|4|Oxford
591327|2016-04-19 13:03:00|3|Oxford
1328369|2018-12-04 10:54:00|4|Durham
1350876|2015-01-15 14:08:00|2|Cambridge
493502|2015-05-29 10:30:00|2|Oxford
784477|2018-01-22 11:34:00|3|Oxford
1142783|2017-03-27 12:09:00|3|Durham
11069|2015-02-06 11:03:00|3|London
1631740|2017-08-07 15:05:00|2|Cambridge
1490086|2016-04-22 11:47:00|3|Cambridge
733242|2017-08-03 13:41:00|3|Oxford
1039171|2016-04-15 11:23:00|3|Durham
1654858|2017-10-23 14:28:00|4|Cambridge
